"","year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del","arr_cancelled","arr_diverted","arr_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
"1528",2015,2,"EV","ExpressJet Airlines Inc.","FSD","Sioux Falls, SD: Joe Foss Field",214,61,12,0,3648,1182,330,1194,0,942
"11808",2015,11,"EV","ExpressJet Airlines Inc.","ABY","Albany, GA: Southwest Georgia Regional",81,20,0,1,1449,718,0,126,0,605
"9615",2015,9,"EV","ExpressJet Airlines Inc.","ABQ","Albuquerque, NM: Albuquerque International Sunport",6,0,0,0,0,0,0,0,0,0
"5759",2015,5,"WN","Southwest Airlines Co.","JAX","Jacksonville, FL: Jacksonville International",439,87,2,0,4391,1689,156,422,0,2124
"2878",2015,3,"F9","Frontier Airlines Inc.","SEA","Seattle, WA: Seattle/Tacoma International",55,7,0,0,927,254,0,230,0,443
"899",2015,1,"OO","SkyWest Airlines Inc.","PIA","Peoria, IL: General Downing - Peoria International",42,19,2,0,1089,343,66,241,0,439
"11964",2015,11,"MQ","Envoy Air","GCK","Garden City, KS: Garden City Regional",58,9,1,0,416,226,51,94,0,45
"576",2015,1,"HA","Hawaiian Airlines Inc.","SJC","San Jose, CA: Norman Y. Mineta San Jose International",62,14,0,0,694,190,195,7,0,302
"1967",2015,2,"OO","SkyWest Airlines Inc.","SMF","Sacramento, CA: Sacramento International",568,103,13,1,6870,1608,627,554,63,4018
"6042",2015,6,"DL","Delta Air Lines Inc.","CMH","Columbus, OH: John Glenn Columbus International",305,51,2,0,2845,1000,856,382,0,607
"10237",2015,10,"AA","American Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",5107,641,16,7,34715,12742,744,6768,112,14349
"13271",2015,12,"OO","SkyWest Airlines Inc.","ATW","Appleton, WI: Appleton International",43,15,2,0,669,440,0,22,0,207
"12690",2015,12,"DL","Delta Air Lines Inc.","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",18,0,0,0,0,0,0,0,0,0
"12245",2015,11,"UA","United Air Lines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",322,60,0,0,3440,1097,0,358,0,1985
"6333",2015,6,"F9","Frontier Airlines Inc.","MEM","Memphis, TN: Memphis International",43,9,0,0,643,63,0,235,0,345
"10548",2015,10,"DL","Delta Air Lines Inc.","CRW","Charleston/Dunbar, WV: Yeager",31,1,0,1,21,0,0,21,0,0
"57",2015,1,"AA","American Airlines Inc.","FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",314,68,2,0,3417,1421,176,462,0,1358
"1764",2015,2,"MQ","Envoy Air","RIC","Richmond, VA: Richmond International",76,23,13,0,1332,532,148,321,0,331
"10024",2015,9,"OO","SkyWest Airlines Inc.","TWF","Twin Falls, ID: Joslin Field - Magic Valley Regional",83,6,0,0,198,139,0,58,0,1
"5713",2015,5,"WN","Southwest Airlines Co.","BDL","Hartford, CT: Bradley International",596,133,4,2,7533,2761,445,453,0,3874
"1470",2015,2,"DL","Delta Air Lines Inc.","ALB","Albany, NY: Albany International",58,11,1,1,929,309,116,44,0,460
"2718",2015,3,"EV","ExpressJet Airlines Inc.","SDF","Louisville, KY: Louisville International-Standiford Field",202,31,8,1,1659,1136,94,249,0,180
"5949",2015,6,"B6","JetBlue Airways","OAK","Oakland, CA: Metropolitan Oakland International",142,18,2,0,1079,390,263,98,0,328
"8815",2015,8,"OO","SkyWest Airlines Inc.","SMF","Sacramento, CA: Sacramento International",567,148,7,2,7830,3139,0,689,0,4002
"4093",2015,4,"MQ","Envoy Air","OMA","Omaha, NE: Eppley Airfield",86,8,2,0,542,150,21,10,0,361
"8509",2015,8,"EV","ExpressJet Airlines Inc.","HRL","Harlingen/San Benito, TX: Valley International",110,13,2,0,1020,275,483,113,0,149
"3235",2015,3,"UA","United Air Lines Inc.","EWR","Newark, NJ: Newark Liberty International",4096,887,127,14,55148,16533,867,17863,0,19885
"12983",2015,12,"HA","Hawaiian Airlines Inc.","LAS","Las Vegas, NV: McCarran International",75,10,0,0,258,254,0,4,0,0
"2473",2015,3,"AS","Alaska Airlines Inc.","ONT","Ontario, CA: Ontario International",47,9,0,0,623,345,0,132,0,146
"11195",2015,10,"UA","United Air Lines Inc.","MEM","Memphis, TN: Memphis International",49,3,0,0,115,13,0,0,0,102
"3034",2015,3,"NK","Spirit Air Lines","FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1102,260,19,1,15120,3228,277,5475,102,6038
"6616",2015,6,"OO","SkyWest Airlines Inc.","AMA","Amarillo, TX: Rick Husband Amarillo International",66,10,0,0,292,56,0,112,0,124
"7623",2015,7,"MQ","Envoy Air","TLH","Tallahassee, FL: Tallahassee International",29,3,0,0,204,185,0,19,0,0
"5137",2015,5,"EV","ExpressJet Airlines Inc.","ABY","Albany, GA: Southwest Georgia Regional",79,18,0,0,917,452,0,150,0,315
"6011",2015,6,"DL","Delta Air Lines Inc.","HNL","Honolulu, HI: Daniel K Inouye International",259,61,0,1,3457,1622,0,641,0,1194
"9025",2015,8,"UA","United Air Lines Inc.","BOI","Boise, ID: Boise Air Terminal",52,12,0,0,709,159,0,0,0,550
"4045",2015,4,"HA","Hawaiian Airlines Inc.","HNL","Honolulu, HI: Daniel K Inouye International",2656,230,7,1,7845,5161,379,46,0,2259
"6443",2015,6,"MQ","Envoy Air","COU","Columbia, MO: Columbia Regional",119,50,7,0,3054,968,407,395,0,1284
"7689",2015,7,"NK","Spirit Air Lines","PDX","Portland, OR: Portland International",93,32,4,0,1790,377,50,543,0,820
"1992",2015,2,"OO","SkyWest Airlines Inc.","BZN","Bozeman, MT: Bozeman Yellowstone International",127,31,1,1,1356,616,15,391,0,334
"5338",2015,5,"NK","Spirit Air Lines","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",862,370,18,11,26959,4872,1297,9374,14,11402
"872",2015,1,"OO","SkyWest Airlines Inc.","IMT","Iron Mountain/Kingsfd, MI: Ford",57,11,1,2,941,427,158,72,0,284
"534",2015,1,"F9","Frontier Airlines Inc.","MSN","Madison, WI: Dane County Regional-Truax Field",28,10,1,0,442,113,0,143,0,186
