"","year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del","arr_cancelled","arr_diverted","arr_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
"8967",2015,8,"UA","United Air Lines Inc.","IND","Indianapolis, IN: Indianapolis International",104,21,1,0,993,468,0,201,0,324
"8969",2015,8,"UA","United Air Lines Inc.","LGA","New York, NY: LaGuardia",776,162,14,4,10914,1848,484,5530,0,3052
"8978",2015,8,"UA","United Air Lines Inc.","MCO","Orlando, FL: Orlando International",924,228,4,4,14896,6027,433,3317,0,5119
"8980",2015,8,"UA","United Air Lines Inc.","RDU","Raleigh/Durham, NC: Raleigh-Durham International",182,35,3,0,2614,871,34,430,0,1279
"8984",2015,8,"UA","United Air Lines Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",563,134,1,1,8670,2516,307,904,0,4943
"8994",2015,8,"UA","United Air Lines Inc.","SNA","Santa Ana, CA: John Wayne Airport-Orange County",490,85,3,2,4702,1851,238,446,0,2167
"8998",2015,8,"UA","United Air Lines Inc.","TPA","Tampa, FL: Tampa International",472,126,2,5,7327,2513,440,1374,0,3000
"9016",2015,8,"UA","United Air Lines Inc.","BDL","Hartford, CT: Bradley International",35,12,0,0,864,89,97,88,0,590
"9019",2015,8,"UA","United Air Lines Inc.","BIL","Billings, MT: Billings Logan International",63,6,0,0,286,170,0,0,0,116
"9035",2015,8,"VX","Virgin America","JFK","New York, NY: John F. Kennedy International",340,57,0,1,3176,825,47,1296,0,1008
"9037",2015,8,"VX","Virgin America","DAL","Dallas, TX: Dallas Love Field",503,82,1,0,4374,1426,114,823,21,1990
"9040",2015,8,"VX","Virgin America","SFO","San Francisco, CA: San Francisco International",1672,318,8,0,17049,2967,244,5547,54,8237
"9044",2015,8,"VX","Virgin America","SAN","San Diego, CA: San Diego International",183,26,1,0,1245,368,2,90,0,785
"9049",2015,8,"VX","Virgin America","FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",61,9,0,0,245,22,41,0,0,182
"9057",2015,8,"WN","Southwest Airlines Co.","DCA","Washington, DC: Ronald Reagan Washington National",1306,187,22,9,11037,3138,833,1628,0,5438
"9069",2015,8,"WN","Southwest Airlines Co.","HOU","Houston, TX: William P Hobby",4443,776,55,59,46970,12388,4622,7067,0,22893
